Training configuration: Namespace(seed=39, batch_size=128, lr=0.0005, weight_decay=0.0001, nhid=128, pooling_ratio=0.5, dropout_ratio=0.5, dataset='NCI1', epochs=100000, patience=50, pooling_layer_type='GCNConv', iter=23, file='logs_exp3', device='cpu', num_classes=2, num_features=37)
Epoch 0: Validation loss: 0.6932109359407077	accuracy: 0.5036496350364964
Epoch 1: Validation loss: 0.6933361294785846	accuracy: 0.48418491484184917
Epoch 2: Validation loss: 0.6924089399277439	accuracy: 0.583941605839416
Epoch 3: Validation loss: 0.6871549462459964	accuracy: 0.5498783454987834
Epoch 4: Validation loss: 0.6694342805811379	accuracy: 0.6131386861313869
Epoch 5: Validation loss: 0.6657076230014327	accuracy: 0.6155717761557178
Epoch 6: Validation loss: 0.6535587774866108	accuracy: 0.6253041362530414
Epoch 7: Validation loss: 0.6435341057696191	accuracy: 0.6496350364963503
Epoch 8: Validation loss: 0.6460658163919936	accuracy: 0.6520681265206812
Epoch 9: Validation loss: 0.6418381851084911	accuracy: 0.6399026763990268
Epoch 10: Validation loss: 0.6373541662582806	accuracy: 0.6496350364963503
Epoch 11: Validation loss: 0.6317454521383392	accuracy: 0.6520681265206812
Epoch 12: Validation loss: 0.6330225728724125	accuracy: 0.6618004866180048
Epoch 13: Validation loss: 0.6395939458025633	accuracy: 0.6618004866180048
Epoch 14: Validation loss: 0.6352508665581399	accuracy: 0.6690997566909975
Epoch 15: Validation loss: 0.6275796217349904	accuracy: 0.6788321167883211
Epoch 16: Validation loss: 0.6234372503275999	accuracy: 0.681265206812652
Epoch 17: Validation loss: 0.6269288492318777	accuracy: 0.6934306569343066
Epoch 18: Validation loss: 0.6242468710943441	accuracy: 0.6788321167883211
Epoch 19: Validation loss: 0.6199369082485673	accuracy: 0.683698296836983
Epoch 20: Validation loss: 0.622625040021836	accuracy: 0.683698296836983
Epoch 21: Validation loss: 0.648919015035142	accuracy: 0.656934306569343
Epoch 22: Validation loss: 0.6427284435634195	accuracy: 0.6666666666666666
Epoch 23: Validation loss: 0.626566615417926	accuracy: 0.6885644768856448
Epoch 24: Validation loss: 0.6226503321144122	accuracy: 0.6739659367396593
Epoch 25: Validation loss: 0.6410604230968912	accuracy: 0.6715328467153284
Epoch 26: Validation loss: 0.6394311482598892	accuracy: 0.6690997566909975
Epoch 27: Validation loss: 0.6238268228052887	accuracy: 0.7031630170316302
Epoch 28: Validation loss: 0.6307698827590386	accuracy: 0.7055961070559611
Epoch 29: Validation loss: 0.6228833581409315	accuracy: 0.683698296836983
Epoch 30: Validation loss: 0.642774762898466	accuracy: 0.681265206812652
Epoch 31: Validation loss: 0.6327013493744417	accuracy: 0.6861313868613139
Epoch 32: Validation loss: 0.6361320894710049	accuracy: 0.6861313868613139
Epoch 33: Validation loss: 0.621249795250069	accuracy: 0.6958637469586375
Epoch 34: Validation loss: 0.6274002845559967	accuracy: 0.6885644768856448
Epoch 35: Validation loss: 0.6314900762553343	accuracy: 0.6861313868613139
Epoch 36: Validation loss: 0.637159468193704	accuracy: 0.681265206812652
Epoch 37: Validation loss: 0.6325594212887061	accuracy: 0.6763990267639902
Epoch 38: Validation loss: 0.6582022711018286	accuracy: 0.6763990267639902
Epoch 39: Validation loss: 0.6398053320074893	accuracy: 0.6763990267639902
Epoch 40: Validation loss: 0.6320854753183333	accuracy: 0.6958637469586375
Epoch 41: Validation loss: 0.6286515934333894	accuracy: 0.6982968369829684
Epoch 42: Validation loss: 0.6248909052271042	accuracy: 0.7055961070559611
Epoch 43: Validation loss: 0.6403417100001426	accuracy: 0.681265206812652
Epoch 44: Validation loss: 0.6479839083632123	accuracy: 0.6642335766423357
Epoch 45: Validation loss: 0.6461435768146004	accuracy: 0.683698296836983
Epoch 46: Validation loss: 0.6628203055574367	accuracy: 0.6642335766423357
Epoch 47: Validation loss: 0.6430278323282581	accuracy: 0.6788321167883211
Epoch 48: Validation loss: 0.6559179821153627	accuracy: 0.681265206812652
Epoch 49: Validation loss: 0.6452007664961247	accuracy: 0.6763990267639902
Epoch 50: Validation loss: 0.6560372030067908	accuracy: 0.6739659367396593
Epoch 51: Validation loss: 0.6625568918938184	accuracy: 0.6788321167883211
Epoch 52: Validation loss: 0.6472454952787599	accuracy: 0.6715328467153284
Epoch 53: Validation loss: 0.660916483895332	accuracy: 0.6690997566909975
Epoch 54: Validation loss: 0.6633387748922455	accuracy: 0.6739659367396593
Epoch 55: Validation loss: 0.6615361587264532	accuracy: 0.6861313868613139
Epoch 56: Validation loss: 0.6483545465771009	accuracy: 0.6763990267639902
Epoch 57: Validation loss: 0.6355266431822394	accuracy: 0.681265206812652
Epoch 58: Validation loss: 0.657336186318502	accuracy: 0.6545012165450121
Epoch 59: Validation loss: 0.6465169113047802	accuracy: 0.6788321167883211
Epoch 60: Validation loss: 0.6393800628736361	accuracy: 0.6763990267639902
Epoch 61: Validation loss: 0.6467572836400238	accuracy: 0.6739659367396593
Epoch 62: Validation loss: 0.6405549339424375	accuracy: 0.6763990267639902
Epoch 63: Validation loss: 0.6373707105353511	accuracy: 0.6909975669099757
Epoch 64: Validation loss: 0.6474864105818625	accuracy: 0.6715328467153284
Epoch 65: Validation loss: 0.6710892187707905	accuracy: 0.6618004866180048
Epoch 66: Validation loss: 0.6632499277156635	accuracy: 0.6472019464720195
Epoch 67: Validation loss: 0.6501056179222979	accuracy: 0.6909975669099757
Epoch 68: Validation loss: 0.6591406680661687	accuracy: 0.6861313868613139
Epoch 69: Validation loss: 0.6410101173567946	accuracy: 0.6788321167883211
Epoch 70: Validation loss: 0.6627350503220756	accuracy: 0.6739659367396593
Test accuracy: 0.6642335766423357
