Training configuration: Namespace(seed=429, batch_size=128, lr=0.0005, weight_decay=0.0001, nhid=128, pooling_ratio=0.5, dropout_ratio=0.5, dataset='NCI1', epochs=100000, patience=50, pooling_layer_type='GCNConv', iter=101, file='logs_ablation3_NCI1', device='cpu', num_classes=2, num_features=37)
Epoch 0: Validation loss: 0.6932123142437343	accuracy: 0.48418491484184917
Epoch 1: Validation loss: 0.6913842714035888	accuracy: 0.610705596107056
Epoch 2: Validation loss: 0.6876198009852945	accuracy: 0.5936739659367397
Epoch 3: Validation loss: 0.67826027417705	accuracy: 0.6204379562043796
Epoch 4: Validation loss: 0.6698603200796457	accuracy: 0.6253041362530414
Epoch 5: Validation loss: 0.6656760612543482	accuracy: 0.6034063260340633
Epoch 6: Validation loss: 0.6577642723881705	accuracy: 0.6155717761557178
Epoch 7: Validation loss: 0.6478785865208239	accuracy: 0.6472019464720195
Epoch 8: Validation loss: 0.6457314642096378	accuracy: 0.635036496350365
Epoch 9: Validation loss: 0.6440453401737259	accuracy: 0.6423357664233577
Epoch 10: Validation loss: 0.6503132961672298	accuracy: 0.610705596107056
Epoch 11: Validation loss: 0.6449973948680572	accuracy: 0.6423357664233577
Epoch 12: Validation loss: 0.6596846568903494	accuracy: 0.6277372262773723
Epoch 13: Validation loss: 0.6655483013812062	accuracy: 0.6058394160583942
Epoch 14: Validation loss: 0.656644695866717	accuracy: 0.635036496350365
Epoch 15: Validation loss: 0.6502930671339198	accuracy: 0.635036496350365
Epoch 16: Validation loss: 0.6545558753094824	accuracy: 0.6131386861313869
Epoch 17: Validation loss: 0.6530653078770695	accuracy: 0.635036496350365
Epoch 18: Validation loss: 0.6558013321999506	accuracy: 0.6277372262773723
Epoch 19: Validation loss: 0.6530045442047491	accuracy: 0.635036496350365
Epoch 20: Validation loss: 0.6496986611916201	accuracy: 0.6447688564476886
Epoch 21: Validation loss: 0.6711029739565513	accuracy: 0.6374695863746959
Epoch 22: Validation loss: 0.658063122825901	accuracy: 0.6545012165450121
Epoch 23: Validation loss: 0.6513338506656842	accuracy: 0.656934306569343
Epoch 24: Validation loss: 0.6632574503729233	accuracy: 0.6423357664233577
Epoch 25: Validation loss: 0.6774398451013867	accuracy: 0.635036496350365
Epoch 26: Validation loss: 0.6554927129815095	accuracy: 0.6593673965936739
Epoch 27: Validation loss: 0.6744454237666443	accuracy: 0.6131386861313869
Epoch 28: Validation loss: 0.6708554316611186	accuracy: 0.6374695863746959
Epoch 29: Validation loss: 0.6720608435117995	accuracy: 0.6399026763990268
Epoch 30: Validation loss: 0.6599910485483435	accuracy: 0.6423357664233577
Epoch 31: Validation loss: 0.6693284157708903	accuracy: 0.6545012165450121
Epoch 32: Validation loss: 0.6464468081212101	accuracy: 0.6666666666666666
Epoch 33: Validation loss: 0.654132717717303	accuracy: 0.6545012165450121
Epoch 34: Validation loss: 0.6562163127889888	accuracy: 0.6618004866180048
Epoch 35: Validation loss: 0.6772508365974519	accuracy: 0.6423357664233577
Epoch 36: Validation loss: 0.6603543636572622	accuracy: 0.6545012165450121
Epoch 37: Validation loss: 0.6958894103112883	accuracy: 0.635036496350365
Epoch 38: Validation loss: 0.6694083805501896	accuracy: 0.6496350364963503
Epoch 39: Validation loss: 0.6455823940082188	accuracy: 0.6593673965936739
Epoch 40: Validation loss: 0.670498121683905	accuracy: 0.6423357664233577
Epoch 41: Validation loss: 0.6756234180608225	accuracy: 0.6545012165450121
Epoch 42: Validation loss: 0.6721072278173591	accuracy: 0.6666666666666666
Epoch 43: Validation loss: 0.6585794249300249	accuracy: 0.656934306569343
Epoch 44: Validation loss: 0.6530122455309197	accuracy: 0.6618004866180048
Epoch 45: Validation loss: 0.6457810320703362	accuracy: 0.6715328467153284
Epoch 46: Validation loss: 0.6585917182792422	accuracy: 0.681265206812652
Epoch 47: Validation loss: 0.6847027502500808	accuracy: 0.6520681265206812
Epoch 48: Validation loss: 0.6553892242357389	accuracy: 0.6545012165450121
Epoch 49: Validation loss: 0.6494133663873602	accuracy: 0.6520681265206812
Epoch 50: Validation loss: 0.6581729137114365	accuracy: 0.6447688564476886
Epoch 51: Validation loss: 0.6584140796150895	accuracy: 0.6690997566909975
Epoch 52: Validation loss: 0.6457931305080145	accuracy: 0.6739659367396593
Epoch 53: Validation loss: 0.6679656871043853	accuracy: 0.6472019464720195
Epoch 54: Validation loss: 0.6497623926241612	accuracy: 0.6861313868613139
Epoch 55: Validation loss: 0.6811980412244216	accuracy: 0.6447688564476886
Epoch 56: Validation loss: 0.64457016269656	accuracy: 0.6763990267639902
Epoch 57: Validation loss: 0.6739220491581009	accuracy: 0.6423357664233577
Epoch 58: Validation loss: 0.655289471294468	accuracy: 0.6715328467153284
Epoch 59: Validation loss: 0.646415427363412	accuracy: 0.683698296836983
Epoch 60: Validation loss: 0.6459643649358819	accuracy: 0.6861313868613139
Test accuracy: 0.635036496350365
