Training configuration: Namespace(seed=309, batch_size=128, lr=0.0005, weight_decay=0.0001, nhid=128, pooling_ratio=0.5, dropout_ratio=0.5, dataset='PROTEINS', epochs=100000, patience=50, pooling_layer_type='GCNConv', ablation=1, device='cuda:0', num_classes=2, num_features=4)
Epoch 0: Validation loss: 0.6935375316722973	accuracy: 0.42342342342342343
Epoch 1: Validation loss: 0.6889983855926238	accuracy: 0.5765765765765766
Epoch 2: Validation loss: 0.6842519399282094	accuracy: 0.5765765765765766
Epoch 3: Validation loss: 0.6799826407217765	accuracy: 0.5765765765765766
Epoch 4: Validation loss: 0.6752291842623874	accuracy: 0.5765765765765766
Epoch 5: Validation loss: 0.6676000646642737	accuracy: 0.5765765765765766
Epoch 6: Validation loss: 0.6476731858811937	accuracy: 0.5765765765765766
Epoch 7: Validation loss: 0.6206889109568553	accuracy: 0.6666666666666666
Epoch 8: Validation loss: 0.6040081677136121	accuracy: 0.6846846846846847
Epoch 9: Validation loss: 0.5947635410068272	accuracy: 0.6576576576576577
Epoch 10: Validation loss: 0.6045288910736909	accuracy: 0.6576576576576577
Epoch 11: Validation loss: 0.6234343932555603	accuracy: 0.6846846846846847
Epoch 12: Validation loss: 0.6014308070277309	accuracy: 0.6846846846846847
Epoch 13: Validation loss: 0.5958100052567216	accuracy: 0.7207207207207207
Epoch 14: Validation loss: 0.6004971340969876	accuracy: 0.7207207207207207
Epoch 15: Validation loss: 0.5962056340398015	accuracy: 0.7207207207207207
Epoch 16: Validation loss: 0.596891179815069	accuracy: 0.7117117117117117
Epoch 17: Validation loss: 0.5887308893976985	accuracy: 0.7207207207207207
Epoch 18: Validation loss: 0.5854567794112472	accuracy: 0.7297297297297297
Epoch 19: Validation loss: 0.5957419593054969	accuracy: 0.6936936936936937
Epoch 20: Validation loss: 0.5806088834195524	accuracy: 0.7297297297297297
Epoch 21: Validation loss: 0.5759783220720721	accuracy: 0.7207207207207207
Epoch 22: Validation loss: 0.5769774978225296	accuracy: 0.7297297297297297
Epoch 23: Validation loss: 0.5815922505146748	accuracy: 0.7207207207207207
Epoch 24: Validation loss: 0.5815543784751548	accuracy: 0.7207207207207207
Epoch 25: Validation loss: 0.58097674395587	accuracy: 0.7117117117117117
Epoch 26: Validation loss: 0.5811687160182644	accuracy: 0.7207207207207207
Epoch 27: Validation loss: 0.5781383342571087	accuracy: 0.7207207207207207
Epoch 28: Validation loss: 0.5697758992513021	accuracy: 0.7387387387387387
Epoch 29: Validation loss: 0.5874512131149704	accuracy: 0.6936936936936937
Epoch 30: Validation loss: 0.5746350331349416	accuracy: 0.7297297297297297
Epoch 31: Validation loss: 0.5856635291297156	accuracy: 0.7027027027027027
Epoch 32: Validation loss: 0.571812019691811	accuracy: 0.7027027027027027
Epoch 33: Validation loss: 0.5689967387431377	accuracy: 0.7027027027027027
Epoch 34: Validation loss: 0.5799957137924057	accuracy: 0.6936936936936937
Epoch 35: Validation loss: 0.5717377190117363	accuracy: 0.7207207207207207
Epoch 36: Validation loss: 0.5728420223201718	accuracy: 0.7207207207207207
Epoch 37: Validation loss: 0.5724396920418954	accuracy: 0.7207207207207207
Epoch 38: Validation loss: 0.5714273195008974	accuracy: 0.7297297297297297
Epoch 39: Validation loss: 0.5752399204013584	accuracy: 0.7387387387387387
Epoch 40: Validation loss: 0.5833759479694538	accuracy: 0.7117117117117117
Epoch 41: Validation loss: 0.5779487678596565	accuracy: 0.7297297297297297
Epoch 42: Validation loss: 0.5824024784672368	accuracy: 0.7297297297297297
Epoch 43: Validation loss: 0.5731490195334494	accuracy: 0.7297297297297297
Epoch 44: Validation loss: 0.5833848145630982	accuracy: 0.7027027027027027
Epoch 45: Validation loss: 0.5773762883366765	accuracy: 0.7117117117117117
Epoch 46: Validation loss: 0.5766272330069327	accuracy: 0.7117117117117117
Epoch 47: Validation loss: 0.5743111275337838	accuracy: 0.7207207207207207
Epoch 48: Validation loss: 0.5825484679625915	accuracy: 0.7207207207207207
Epoch 49: Validation loss: 0.5735669522672087	accuracy: 0.7027027027027027
Epoch 50: Validation loss: 0.5673065872879716	accuracy: 0.7387387387387387
Epoch 51: Validation loss: 0.5725764712771854	accuracy: 0.7207207207207207
Epoch 52: Validation loss: 0.5719837498020481	accuracy: 0.7297297297297297
Epoch 53: Validation loss: 0.5648024619162619	accuracy: 0.7297297297297297
Epoch 54: Validation loss: 0.5720754056363493	accuracy: 0.7297297297297297
Epoch 55: Validation loss: 0.5741954837833438	accuracy: 0.7207207207207207
Epoch 56: Validation loss: 0.5766468907261754	accuracy: 0.7387387387387387
Epoch 57: Validation loss: 0.5805284654771959	accuracy: 0.7297297297297297
Epoch 58: Validation loss: 0.5761553102785403	accuracy: 0.7387387387387387
Epoch 59: Validation loss: 0.5727431838576859	accuracy: 0.7387387387387387
Epoch 60: Validation loss: 0.5793665980433559	accuracy: 0.7207207207207207
Epoch 61: Validation loss: 0.5779298662065385	accuracy: 0.7387387387387387
Epoch 62: Validation loss: 0.5860135190121762	accuracy: 0.7297297297297297
Epoch 63: Validation loss: 0.5734813105952632	accuracy: 0.7297297297297297
Epoch 64: Validation loss: 0.5817372090107685	accuracy: 0.7207207207207207
Epoch 65: Validation loss: 0.5645080428939682	accuracy: 0.7387387387387387
Epoch 66: Validation loss: 0.5757321881818341	accuracy: 0.7207207207207207
Epoch 67: Validation loss: 0.5746981990229976	accuracy: 0.7297297297297297
Epoch 68: Validation loss: 0.5705205556508657	accuracy: 0.7297297297297297
Epoch 69: Validation loss: 0.5759891475643124	accuracy: 0.7387387387387387
Epoch 70: Validation loss: 0.5724461873372396	accuracy: 0.7297297297297297
Epoch 71: Validation loss: 0.5758120906245601	accuracy: 0.7297297297297297
Epoch 72: Validation loss: 0.563288198935019	accuracy: 0.7387387387387387
Epoch 73: Validation loss: 0.5743883150117891	accuracy: 0.7297297297297297
Epoch 74: Validation loss: 0.5781294676634643	accuracy: 0.7297297297297297
Epoch 75: Validation loss: 0.5795030336122255	accuracy: 0.7297297297297297
Epoch 76: Validation loss: 0.5763299615533503	accuracy: 0.7297297297297297
Epoch 77: Validation loss: 0.5680691143413922	accuracy: 0.7297297297297297
Epoch 78: Validation loss: 0.5742321873570347	accuracy: 0.7297297297297297
Epoch 79: Validation loss: 0.5707381995948585	accuracy: 0.7297297297297297
Epoch 80: Validation loss: 0.5693341504346143	accuracy: 0.7297297297297297
Epoch 81: Validation loss: 0.5587563729500985	accuracy: 0.7297297297297297
Epoch 82: Validation loss: 0.5609780732575838	accuracy: 0.7297297297297297
Epoch 83: Validation loss: 0.5673944284250071	accuracy: 0.7297297297297297
Epoch 84: Validation loss: 0.5646577783533044	accuracy: 0.7297297297297297
Epoch 85: Validation loss: 0.5680759533031566	accuracy: 0.7297297297297297
Epoch 86: Validation loss: 0.5603002256101316	accuracy: 0.7297297297297297
Epoch 87: Validation loss: 0.5611095256633587	accuracy: 0.7297297297297297
Epoch 88: Validation loss: 0.561194067602759	accuracy: 0.7297297297297297
Epoch 89: Validation loss: 0.565738987278294	accuracy: 0.7297297297297297
Epoch 90: Validation loss: 0.5637279201198269	accuracy: 0.7387387387387387
Epoch 91: Validation loss: 0.5657225943900444	accuracy: 0.7387387387387387
Epoch 92: Validation loss: 0.5710603181306306	accuracy: 0.7387387387387387
Epoch 93: Validation loss: 0.5667523908185529	accuracy: 0.7207207207207207
Epoch 94: Validation loss: 0.5631379136094102	accuracy: 0.7297297297297297
Epoch 95: Validation loss: 0.5872879028320312	accuracy: 0.7387387387387387
Epoch 96: Validation loss: 0.559264071352847	accuracy: 0.7387387387387387
Epoch 97: Validation loss: 0.5515576611768018	accuracy: 0.7297297297297297
Epoch 98: Validation loss: 0.5662410151851069	accuracy: 0.7297297297297297
Epoch 99: Validation loss: 0.5651918359704919	accuracy: 0.7207207207207207
Epoch 100: Validation loss: 0.5558390574412303	accuracy: 0.7387387387387387
Epoch 101: Validation loss: 0.5671458201365428	accuracy: 0.7297297297297297
Epoch 102: Validation loss: 0.5611647184904631	accuracy: 0.7387387387387387
Epoch 103: Validation loss: 0.55529987919438	accuracy: 0.7387387387387387
Epoch 104: Validation loss: 0.5622673722000809	accuracy: 0.7297297297297297
Epoch 105: Validation loss: 0.5626742732417476	accuracy: 0.7387387387387387
Epoch 106: Validation loss: 0.5597259933884079	accuracy: 0.7387387387387387
Epoch 107: Validation loss: 0.5615413081538569	accuracy: 0.7387387387387387
Epoch 108: Validation loss: 0.55696676443289	accuracy: 0.7387387387387387
Epoch 109: Validation loss: 0.568501412331521	accuracy: 0.7387387387387387
Epoch 110: Validation loss: 0.5682125607052365	accuracy: 0.7297297297297297
Epoch 111: Validation loss: 0.5570421304788675	accuracy: 0.7477477477477478
Epoch 112: Validation loss: 0.5634183454083966	accuracy: 0.7477477477477478
Epoch 113: Validation loss: 0.5700835837974204	accuracy: 0.7387387387387387
Epoch 114: Validation loss: 0.5496192107329497	accuracy: 0.7387387387387387
Epoch 115: Validation loss: 0.5557836240476316	accuracy: 0.7207207207207207
Epoch 116: Validation loss: 0.5636821437526394	accuracy: 0.7297297297297297
Epoch 117: Validation loss: 0.5546503152933207	accuracy: 0.7297297297297297
Epoch 118: Validation loss: 0.5441804834314294	accuracy: 0.7477477477477478
Epoch 119: Validation loss: 0.5682823593552048	accuracy: 0.7387387387387387
Epoch 120: Validation loss: 0.564071208507091	accuracy: 0.7387387387387387
Epoch 121: Validation loss: 0.5584635004266962	accuracy: 0.7387387387387387
Epoch 122: Validation loss: 0.5554037008199606	accuracy: 0.7387387387387387
Epoch 123: Validation loss: 0.5607601543804547	accuracy: 0.7387387387387387
Epoch 124: Validation loss: 0.5536494212107615	accuracy: 0.7477477477477478
Epoch 125: Validation loss: 0.5556123407037409	accuracy: 0.7567567567567568
Epoch 126: Validation loss: 0.5713169338466885	accuracy: 0.7477477477477478
Epoch 127: Validation loss: 0.5527547544187253	accuracy: 0.7567567567567568
Epoch 128: Validation loss: 0.5667656563423775	accuracy: 0.7387387387387387
Epoch 129: Validation loss: 0.55834758174312	accuracy: 0.7477477477477478
Epoch 130: Validation loss: 0.5747258641698338	accuracy: 0.7207207207207207
Epoch 131: Validation loss: 0.5514534958848009	accuracy: 0.7477477477477478
Epoch 132: Validation loss: 0.5706640363813521	accuracy: 0.7477477477477478
Epoch 133: Validation loss: 0.5478355820114548	accuracy: 0.7477477477477478
Epoch 134: Validation loss: 0.5674612715437606	accuracy: 0.7387387387387387
Epoch 135: Validation loss: 0.5653695458764428	accuracy: 0.7477477477477478
Epoch 136: Validation loss: 0.5623325657200169	accuracy: 0.7387387387387387
Epoch 137: Validation loss: 0.5654793129310952	accuracy: 0.7477477477477478
Epoch 138: Validation loss: 0.5618617427241694	accuracy: 0.7477477477477478
Epoch 139: Validation loss: 0.5698139087573902	accuracy: 0.7477477477477478
Epoch 140: Validation loss: 0.5606232720452387	accuracy: 0.7477477477477478
Epoch 141: Validation loss: 0.5586975716255806	accuracy: 0.7567567567567568
Epoch 142: Validation loss: 0.5612386755041174	accuracy: 0.7477477477477478
Epoch 143: Validation loss: 0.5668058653135557	accuracy: 0.7477477477477478
Epoch 144: Validation loss: 0.5485975591986029	accuracy: 0.7387387387387387
Epoch 145: Validation loss: 0.5737427376412056	accuracy: 0.7207207207207207
Epoch 146: Validation loss: 0.5613466211267419	accuracy: 0.7387387387387387
Epoch 147: Validation loss: 0.5684332632803702	accuracy: 0.7387387387387387
Epoch 148: Validation loss: 0.5633150736490885	accuracy: 0.7477477477477478
Epoch 149: Validation loss: 0.570062001546224	accuracy: 0.7477477477477478
Epoch 150: Validation loss: 0.5610349844167898	accuracy: 0.7567567567567568
Epoch 151: Validation loss: 0.5639016091286599	accuracy: 0.7477477477477478
Epoch 152: Validation loss: 0.552621858613985	accuracy: 0.7567567567567568
Epoch 153: Validation loss: 0.5460242881431235	accuracy: 0.7477477477477478
Epoch 154: Validation loss: 0.5687970685529279	accuracy: 0.7387387387387387
Epoch 155: Validation loss: 0.5588385435911987	accuracy: 0.7477477477477478
Epoch 156: Validation loss: 0.5636157474002322	accuracy: 0.7387387387387387
Epoch 157: Validation loss: 0.5574705106718046	accuracy: 0.7387387387387387
Epoch 158: Validation loss: 0.5676990887066266	accuracy: 0.7297297297297297
Epoch 159: Validation loss: 0.5370143512347797	accuracy: 0.7477477477477478
Epoch 160: Validation loss: 0.5582518706450591	accuracy: 0.7387387387387387
Epoch 161: Validation loss: 0.5606169829497466	accuracy: 0.7297297297297297
Epoch 162: Validation loss: 0.5519598196218679	accuracy: 0.7387387387387387
